id,cidade,area,quantidade_quartos,quantidade_banheiros,quantidade_vagas,andar,permitido_animal,mobiliado,aluguel,imposto_imovel,seguro_fogo,total
1,São Paulo,70,2,1,1,7,true,true,330000,21100,4200,561800
2,São Paulo,320,4,4,0,20,true,true,496000,175000,6300,797300
3,Porto Alegre,80,1,1,1,6,true,true,280000,0,4100,384100
4,Porto Alegre,51,2,1,0,2,true,true,111200,2200,1700,142100
5,São Paulo,25,1,1,0,1,true,true,80000,2500,1100,83600
6,São Paulo,376,3,3,7,-,true,true,800000,83400,12100,895500
7,Rio de Janeiro,72,2,1,0,7,true,true,190000,8500,2500,275000
8,São Paulo,213,4,4,4,4,true,true,322300,173500,4100,725300
9,São Paulo,152,2,2,1,3,true,true,1500000,25000,19100,1644000
10,Rio de Janeiro,35,1,1,0,2,true,true,230000,3500,3000,295500
11,São Paulo,26,1,1,0,2,true,true,210000,15000,2700,274700
12,Campinas,46,1,1,1,10,true,true,58000,4300,800,118100
13,São Paulo,36,1,1,0,11,true,true,210000,7000,2700,255600
14,São Paulo,55,1,1,1,2,true,true,420000,22400,5400,526800
15,São Paulo,100,2,2,2,24,true,true,437000,1700,5600,534300
16,Campinas,330,4,6,6,-,true,true,800000,32800,12100,912900
17,São Paulo,110,2,2,1,1,true,true,300000,12200,3900,386100
18,Rio de Janeiro,88,2,3,1,9,true,true,350000,22100,1600,535100
19,Rio de Janeiro,56,2,1,0,8,true,true,122000,0,1600,203600
20,São Paulo,600,4,5,6,-,true,true,1200000,950000,18100,2168000
21,São Paulo,100,7,4,0,-,true,true,380000,11800,5800,397600
22,Belo Horizonte,42,1,1,1,17,true,true,269000,17200,3600,336800
23,São Paulo,160,3,2,2,18,true,true,190000,16700,2500,362200
24,São Paulo,35,1,1,0,-,true,true,110000,300,1400,111700
25,Rio de Janeiro,90,3,2,1,7,true,true,180000,11800,2400,274200
26,São Paulo,49,1,1,1,10,true,true,350000,4200,4500,406700
27,São Paulo,41,1,1,1,5,true,true,300000,0,3900,363900
28,Belo Horizonte,64,2,2,1,11,true,true,150000,8000,2000,195200
